year, category a, category b, category c, value, axis, show on left-menu, description
2004,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,4734.73240383, ,,
2005,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,4453.58232957, ,,
2006,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,4330.38562981, ,,
2007,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,4235.58291865, ,,
2008,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,4119.31556077, ,,
2009,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,4119.67109164, ,,
2010,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,3882.19081452, ,,
2011,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,3583.92513188, ,,
2012,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,3615.71878582, ,,
2013,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,3686.7692115, ,,
2014,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,3676.96532379, ,,
2015,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,3800.30957369, ,,
2016,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,4108.52536157, ,,
2017,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,3904.88202201, ,,
1990,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,2113.9962008811, ,,
1991,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,2185.7333812943, ,,
1992,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,2280.4027431962, ,,
1993,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,2430.1983515124, ,,
1994,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,2653.9933417413, ,,
1995,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,2815.43147843647, ,,
1996,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,2972.99374421418, ,,
1997,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,3233.74370354574, ,,
1998,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,3482.18406300335, ,,
1999,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,3573.53725646501, ,,
2000,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,3646.1208512566, ,,
2001,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,3724.83784174079, ,,
2002,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,3749.87983065423, ,,
2003,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,3842.68519384278, ,,
2004,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,4086.00296416895, ,,
2005,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,3906.66844792783, ,,
2006,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,3920.72300890356, ,,
2007,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,3975.05709928934, ,,
2008,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,3961.60978550137, ,,
2009,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,4087.32366637452, ,,
2010,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,4046.30864689199, ,,
2011,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,3894.00694832148, ,,
2012,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,4040.35138486147, ,,
2013,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,4204.07131436232, ,,
2014,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,4381.26039637518, ,,
2015,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,4676.21286681441, ,,
2016,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,5260.5647215659, ,,
2017,ENERGY,Road Transportation,Light-Duty Gasoline Trucks,5202.65963472674, ,,
1990,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,950.116602287727, ,,
1991,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1004.77308260635, ,,
1992,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1089.11729478808, ,,
1993,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1220.60119395108, ,,
1994,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1296.54948613817, ,,
1995,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1322.02460863405, ,,
1996,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1422.37812978029, ,,
1997,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1572.13166347571, ,,
1998,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1716.40765298884, ,,
1999,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1708.93558421387, ,,
2000,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1730.04335375569, ,,
2001,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1785.55425968846, ,,
2002,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1790.77949385896, ,,
2003,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1820.05147862402, ,,
2004,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1948.10669831563, ,,
2005,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1863.76249074281, ,,
2006,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1816.80194030786, ,,
2007,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1853.87561644369, ,,
2008,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1884.71979553903, ,,
2009,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1879.20769492511, ,,
2010,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1812.89044320193, ,,
2011,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1709.19260955122, ,,
2012,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1758.42133845767, ,,
2013,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1797.20914896039, ,,
2014,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1751.96782034346, ,,
2015,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1739.02881096357, ,,
2016,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1955.48479282454, ,,
2017,ENERGY,Road Transportation,Heavy-Duty Gasoline Vehicles,1934.00287037161, ,,
1990,ENERGY,Road Transportation,Motorcycles,14.5719238292646, ,,
1991,ENERGY,Road Transportation,Motorcycles,14.0610884554414, ,,
1992,ENERGY,Road Transportation,Motorcycles,13.7874487207298, ,,
1993,ENERGY,Road Transportation,Motorcycles,13.9930735709495, ,,
1994,ENERGY,Road Transportation,Motorcycles,13.8289056073686, ,,
1995,ENERGY,Road Transportation,Motorcycles,13.5829851769347, ,,
1996,ENERGY,Road Transportation,Motorcycles,13.3575709936053, ,,
1997,ENERGY,Road Transportation,Motorcycles,13.5581601939897, ,,
1998,ENERGY,Road Transportation,Motorcycles,13.6457677239901, ,,
1999,ENERGY,Road Transportation,Motorcycles,16.0596281846548, ,,
2000,ENERGY,Road Transportation,Motorcycles,18.144374730377, ,,
2001,ENERGY,Road Transportation,Motorcycles,20.1093622689405, ,,
2002,ENERGY,Road Transportation,Motorcycles,21.6162270548449, ,,
2003,ENERGY,Road Transportation,Motorcycles,23.3448492812115, ,,
2004,ENERGY,Road Transportation,Motorcycles,27.5296368042973, ,,
2005,ENERGY,Road Transportation,Motorcycles,20.748446499635, ,,
2006,ENERGY,Road Transportation,Motorcycles,21.3514836588467, ,,
2007,ENERGY,Road Transportation,Motorcycles,21.3009936541719, ,,
2008,ENERGY,Road Transportation,Motorcycles,21.8447841733135, ,,
2009,ENERGY,Road Transportation,Motorcycles,22.9140103156385, ,,
2010,ENERGY,Road Transportation,Motorcycles,23.0619502737347, ,,
2011,ENERGY,Road Transportation,Motorcycles,21.706629164645, ,,
2012,ENERGY,Road Transportation,Motorcycles,23.0460017739115, ,,
2013,ENERGY,Road Transportation,Motorcycles,24.0301005252637, ,,
2014,ENERGY,Road Transportation,Motorcycles,25.1640376037735, ,,
2015,ENERGY,Road Transportation,Motorcycles,26.6939192622225, ,,
2016,ENERGY,Road Transportation,Motorcycles,29.4550833455891, ,,
2017,ENERGY,Road Transportation,Motorcycles,28.5734787279518, ,,
1990,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,43.9155074183873, ,,
1991,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,41.2653461607169, ,,
1992,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,39.6806340759726, ,,
1993,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,38.2452494735781, ,,
1994,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,40.2780516468844, ,,
1995,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,43.7395331473721, ,,
1996,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,48.4007218035725, ,,
1997,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,54.1015540070967, ,,
1998,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,57.7662552418908, ,,
1999,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,61.2877727801401, ,,
2000,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,66.6333520095818, ,,
2001,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,72.3089735059996, ,,
2002,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,79.5054087191999, ,,
2003,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,88.9415165174643, ,,
2004,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,97.7855822164427, ,,
2005,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,93.0089253465486, ,,
2006,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,107.849922098557, ,,
2007,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,104.932897338975, ,,
2008,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,101.319100439134, ,,
2009,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,80.6864358565336, ,,
2010,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,93.3984562895953, ,,
2011,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,100.847002660676, ,,
2012,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,113.722316301029, ,,
2013,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,127.769616635554, ,,
2014,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,120.746668238247, ,,
2015,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,131.258414312759, ,,
2016,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,127.830647664578, ,,
2017,ENERGY,Road Transportation,Light-Duty Diesel Vehicles,119.992375620751, ,,
1990,ENERGY,Road Transportation,Light-Duty Diesel Trucks,16.5075052141929, ,,
1991,ENERGY,Road Transportation,Light-Duty Diesel Trucks,15.897518989424, ,,
1992,ENERGY,Road Transportation,Light-Duty Diesel Trucks,15.6548920651684, ,,
1993,ENERGY,Road Transportation,Light-Duty Diesel Trucks,15.4398774628716, ,,
1994,ENERGY,Road Transportation,Light-Duty Diesel Trucks,16.6270535049664, ,,
1995,ENERGY,Road Transportation,Light-Duty Diesel Trucks,18.4503234384697, ,,
1996,ENERGY,Road Transportation,Light-Duty Diesel Trucks,22.4455605183554, ,,
1997,ENERGY,Road Transportation,Light-Duty Diesel Trucks,26.9746079217236, ,,
1998,ENERGY,Road Transportation,Light-Duty Diesel Trucks,30.5015717595651, ,,
1999,ENERGY,Road Transportation,Light-Duty Diesel Trucks,33.9040141110892, ,,
2000,ENERGY,Road Transportation,Light-Duty Diesel Trucks,32.964200890361, ,,
2001,ENERGY,Road Transportation,Light-Duty Diesel Trucks,35.2663882514836, ,,
2002,ENERGY,Road Transportation,Light-Duty Diesel Trucks,38.4513767086551, ,,
2003,ENERGY,Road Transportation,Light-Duty Diesel Trucks,40.9866316973421, ,,
2004,ENERGY,Road Transportation,Light-Duty Diesel Trucks,45.7985401176699, ,,
2005,ENERGY,Road Transportation,Light-Duty Diesel Trucks,45.0739151685533, ,,
2006,ENERGY,Road Transportation,Light-Duty Diesel Trucks,43.9923082431244, ,,
2007,ENERGY,Road Transportation,Light-Duty Diesel Trucks,43.6971384876761, ,,
2008,ENERGY,Road Transportation,Light-Duty Diesel Trucks,51.4165558179922, ,,
2009,ENERGY,Road Transportation,Light-Duty Diesel Trucks,44.2673740882542, ,,
2010,ENERGY,Road Transportation,Light-Duty Diesel Trucks,51.3225437842982, ,,
2011,ENERGY,Road Transportation,Light-Duty Diesel Trucks,54.6983052160527, ,,
2012,ENERGY,Road Transportation,Light-Duty Diesel Trucks,60.3749592219839, ,,
2013,ENERGY,Road Transportation,Light-Duty Diesel Trucks,76.3047727848706, ,,
2014,ENERGY,Road Transportation,Light-Duty Diesel Trucks,86.3870212394136, ,,
2015,ENERGY,Road Transportation,Light-Duty Diesel Trucks,107.097559031827, ,,
2016,ENERGY,Road Transportation,Light-Duty Diesel Trucks,119.123945883579, ,,
2017,ENERGY,Road Transportation,Light-Duty Diesel Trucks,127.711295294534, ,,
1990,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,1939.39470398616, ,,
1991,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,1850.49986741304, ,,
1992,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,1806.24281935281, ,,
1993,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,1766.50221463868, ,,
1994,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,1887.10304699696, ,,
1995,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,2078.0159247726, ,,
1996,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,2425.10456488538, ,,
1997,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,2827.48443650785, ,,
1998,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,3124.26305293057, ,,
1999,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,3410.26857485496, ,,
2000,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,3523.31398463969, ,,
2001,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,3726.91365196101, ,,
2002,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,3918.16222477172, ,,
2003,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,4372.50894163524, ,,
2004,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,4658.59750284633, ,,
2005,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,4894.65529847565, ,,
2006,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,5081.8264795884, ,,
2007,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,5367.3693007298, ,,
2008,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,5777.61880228186, ,,
2009,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,4612.38613910959, ,,
2010,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,5131.88798359267, ,,
2011,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,5198.20286895034, ,,
2012,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,5702.67818885426, ,,
2013,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,6389.90934441108, ,,
2014,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,6269.45243861419, ,,
2015,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,6301.33139354791, ,,
2016,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,6349.75743258802, ,,
2017,ENERGY,Road Transportation,Heavy-Duty Diesel Vehicles,6168.97443590573, ,,
1990,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,623.619929369143, ,,
1991,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,604.393456576376, ,,
1992,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,445.801471671351, ,,
1993,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,371.483332163105, ,,
1994,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,479.129731800323, ,,
1995,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,444.076434056883, ,,
1996,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,313.690552532076, ,,
1997,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,307.503155305548, ,,
1998,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,379.523162577648, ,,
1999,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,245.288093452624, ,,
2000,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,261.660610798421, ,,
2001,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,273.136257574818, ,,
2002,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,250.382918257082, ,,
2003,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,227.098026134278, ,,
2004,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,225.088980039535, ,,
2005,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,213.706922448612, ,,
2006,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,147.899604220565, ,,
2007,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,143.569154662285, ,,
2008,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,107.689974373337, ,,
2009,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,51.8515908135889, ,,
2010,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,33.1576365684923, ,,
2011,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,32.4429421133947, ,,
2012,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,23.2379565805962, ,,
2013,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,14.1540151912506, ,,
2014,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,7.11833187304506, ,,
2015,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,6.2390277897197, ,,
2016,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,6.17642858790788, ,,
2017,ENERGY,Road Transportation,Propane and Natural Gas Vehicles,6.77495165512133, ,,
1990,ENERGY,Railways,,1432.478740517, ,,
1991,ENERGY,Railways,,1389.43415274433, ,,
1992,ENERGY,Railways,,1595.43017718667, ,,
1993,ENERGY,Railways,,1622.841443333, ,,
1994,ENERGY,Railways,,1639.47368462867, ,,
1995,ENERGY,Railways,,1640.385869155, ,,
1996,ENERGY,Railways,,1576.7850824, ,,
1997,ENERGY,Railways,,1429.3353393, ,,
1998,ENERGY,Railways,,1363.835352, ,,
1999,ENERGY,Railways,,1385.0705077, ,,
2000,ENERGY,Railways,,1263.0431341, ,,
2001,ENERGY,Railways,,1045.6071032, ,,
2002,ENERGY,Railways,,860.4724359, ,,
2003,ENERGY,Railways,,568.26473, ,,
2004,ENERGY,Railways,,398.6825711, ,,
2005,ENERGY,Railways,,430.3857613, ,,
2006,ENERGY,Railways,,419.9177268, ,,
2007,ENERGY,Railways,,421.4131603, ,,
2008,ENERGY,Railways,,653.5044395, ,,
2009,ENERGY,Railways,,440.2556224, ,,
2010,ENERGY,Railways,,512.5301282, ,,
2011,ENERGY,Railways,,671.3422806, ,,
2012,ENERGY,Railways,,685.178187816667, ,,
2013,ENERGY,Railways,,533.584769616667, ,,
2014,ENERGY,Railways,,663.822765808333, ,,
2015,ENERGY,Railways,,664.725107583333, ,,
2016,ENERGY,Railways,,788.64671135, ,,
2017,ENERGY,Railways,,986.259560075, ,,
1990,ENERGY,Domestic Navigation,,960.842024575003, ,,
1991,ENERGY,Domestic Navigation,,1060.40412578962, ,,
1992,ENERGY,Domestic Navigation,,1077.63081564034, ,,
1993,ENERGY,Domestic Navigation,,1069.77882318347, ,,
1994,ENERGY,Domestic Navigation,,1087.47941717765, ,,
1995,ENERGY,Domestic Navigation,,1149.98146136412, ,,
1996,ENERGY,Domestic Navigation,,1085.22369619758, ,,
1997,ENERGY,Domestic Navigation,,964.50926225623, ,,
1998,ENERGY,Domestic Navigation,,948.99255525181, ,,
1999,ENERGY,Domestic Navigation,,1060.02933248596, ,,
2000,ENERGY,Domestic Navigation,,1166.14359311504, ,,
2001,ENERGY,Domestic Navigation,,1479.55985866019, ,,
2002,ENERGY,Domestic Navigation,,1771.63557498077, ,,
2003,ENERGY,Domestic Navigation,,2890.64069335242, ,,
2004,ENERGY,Domestic Navigation,,2529.310305036, ,,
2005,ENERGY,Domestic Navigation,,2402.96365885734, ,,
2006,ENERGY,Domestic Navigation,,2414.70295426906, ,,
2007,ENERGY,Domestic Navigation,,2545.16644958944, ,,
2008,ENERGY,Domestic Navigation,,2494.38791556068, ,,
2009,ENERGY,Domestic Navigation,,2603.61554797625, ,,
2010,ENERGY,Domestic Navigation,,2638.94045605108, ,,
2011,ENERGY,Domestic Navigation,,2194.65980014389, ,,
2012,ENERGY,Domestic Navigation,,2605.04151475519, ,,
2013,ENERGY,Domestic Navigation,,2123.38565384665, ,,
2014,ENERGY,Domestic Navigation,,1896.29905114937, ,,
2015,ENERGY,Domestic Navigation,,1813.5498427427, ,,
2016,ENERGY,Domestic Navigation,,949.574561245677, ,,
2017,ENERGY,Domestic Navigation,,1639.40140691633, ,,
1990,ENERGY,Other Transportation,,5243.1122377286, ,,
1991,ENERGY,Other Transportation,,5569.63397964511, ,,
1992,ENERGY,Other Transportation,,5557.46554356826, ,,
1993,ENERGY,Other Transportation,,5808.27763627711, ,,
1994,ENERGY,Other Transportation,,6176.54915086684, ,,
1995,ENERGY,Other Transportation,,6725.30181409514, ,,
1996,ENERGY,Other Transportation,,6824.84198236082, ,,
1997,ENERGY,Other Transportation,,6702.22644696048, ,,
1998,ENERGY,Other Transportation,,6317.42508342049, ,,
1999,ENERGY,Other Transportation,,5873.41172145224, ,,
2000,ENERGY,Other Transportation,,5935.25403464741, ,,
2001,ENERGY,Other Transportation,,5653.67474915212, ,,
2002,ENERGY,Other Transportation,,5122.6434795985, ,,
2003,ENERGY,Other Transportation,,5093.91963917901, ,,
2004,ENERGY,Other Transportation,,5370.95566288242, ,,
2005,ENERGY,Other Transportation,,4708.22462449602, ,,
2006,ENERGY,Other Transportation,,4254.13825013922, ,,
2007,ENERGY,Other Transportation,,4447.38281451621, ,,
2008,ENERGY,Other Transportation,,4487.17584860634, ,,
2009,ENERGY,Other Transportation,,3918.977128117, ,,
2010,ENERGY,Other Transportation,,4186.66906309781, ,,
2011,ENERGY,Other Transportation,,3654.22726845306, ,,
2012,ENERGY,Other Transportation,,3615.85017576353, ,,
2013,ENERGY,Other Transportation,,3991.22120756753, ,,
2014,ENERGY,Other Transportation,,3964.2239954253, ,,
2015,ENERGY,Other Transportation,,4503.82501468715, ,,
2016,ENERGY,Other Transportation,,4540.58062881151, ,,
2017,ENERGY,Other Transportation,,4686.74539597421, ,,
1990,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,707.172554411903, ,,
1991,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,732.206045553265, ,,
1992,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,760.430517230104, ,,
1993,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,801.34178036717, ,,
1994,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,872.741297994045, ,,
1995,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,1001.89790401928, ,,
1996,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,1020.37677975031, ,,
1997,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,1029.03022586176, ,,
1998,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,970.543932918638, ,,
1999,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,878.284558708182, ,,
2000,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,838.012419584963, ,,
2001,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,892.014397794315, ,,
2002,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,795.219713909684, ,,
2003,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,897.455119047736, ,,
2004,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,965.956655392694, ,,
2005,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,873.395262855889, ,,
2006,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,816.317700566305, ,,
2007,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,811.909158237277, ,,
2008,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,812.991604434846, ,,
2009,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,635.343845428954, ,,
2010,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,719.517011234657, ,,
2011,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,579.193074199168, ,,
2012,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,568.474807850997, ,,
2013,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,617.558074763884, ,,
2014,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,587.799146349292, ,,
2015,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,656.471578385673, ,,
2016,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,575.955683301641, ,,
2017,ENERGY,Other Transportation,Off-Road Agriculture & Forestry,624.74843964178, ,,
1990,ENERGY,Other Transportation,Off-Road Commercial & Institutional,243.142437961486, ,,
1991,ENERGY,Other Transportation,Off-Road Commercial & Institutional,247.658004395909, ,,
1992,ENERGY,Other Transportation,Off-Road Commercial & Institutional,248.095229715787, ,,
1993,ENERGY,Other Transportation,Off-Road Commercial & Institutional,253.741494626008, ,,
1994,ENERGY,Other Transportation,Off-Road Commercial & Institutional,278.532356679975, ,,
1995,ENERGY,Other Transportation,Off-Road Commercial & Institutional,298.578371593802, ,,
1996,ENERGY,Other Transportation,Off-Road Commercial & Institutional,301.921844107399, ,,
1997,ENERGY,Other Transportation,Off-Road Commercial & Institutional,314.276079182788, ,,
1998,ENERGY,Other Transportation,Off-Road Commercial & Institutional,301.424850340854, ,,
1999,ENERGY,Other Transportation,Off-Road Commercial & Institutional,285.475678340687, ,,
2000,ENERGY,Other Transportation,Off-Road Commercial & Institutional,289.696445709143, ,,
2001,ENERGY,Other Transportation,Off-Road Commercial & Institutional,291.219974611959, ,,
2002,ENERGY,Other Transportation,Off-Road Commercial & Institutional,281.108998067757, ,,
2003,ENERGY,Other Transportation,Off-Road Commercial & Institutional,317.446485648572, ,,
2004,ENERGY,Other Transportation,Off-Road Commercial & Institutional,340.560040650538, ,,
2005,ENERGY,Other Transportation,Off-Road Commercial & Institutional,330.388692662488, ,,
2006,ENERGY,Other Transportation,Off-Road Commercial & Institutional,315.020636490141, ,,
2007,ENERGY,Other Transportation,Off-Road Commercial & Institutional,323.311056450272, ,,
2008,ENERGY,Other Transportation,Off-Road Commercial & Institutional,321.288049668837, ,,
2009,ENERGY,Other Transportation,Off-Road Commercial & Institutional,290.741569234068, ,,
2010,ENERGY,Other Transportation,Off-Road Commercial & Institutional,324.764500509182, ,,
2011,ENERGY,Other Transportation,Off-Road Commercial & Institutional,325.932738741082, ,,
2012,ENERGY,Other Transportation,Off-Road Commercial & Institutional,330.885057689529, ,,
2013,ENERGY,Other Transportation,Off-Road Commercial & Institutional,360.873536346352, ,,
2014,ENERGY,Other Transportation,Off-Road Commercial & Institutional,356.19252527902, ,,
2015,ENERGY,Other Transportation,Off-Road Commercial & Institutional,359.315602765398, ,,
2016,ENERGY,Other Transportation,Off-Road Commercial & Institutional,301.226505839323, ,,
2017,ENERGY,Other Transportation,Off-Road Commercial & Institutional,274.886535447853, ,,
1990,ENERGY,Other Transportation,"Off-Road Manufacturing, Mining & Construction",1346.16756316077, ,,
1991,ENERGY,Other Transportation,"Off-Road Manufacturing, Mining & Construction",1409.31543133965, ,,
1992,ENERGY,Other Transportation,"Off-Road Manufacturing, Mining & Construction",1424.0643626424, ,,
